item	file_sg	option	category	c1	c2	c3	opt1	opt2	opt3
tms	Distractor\tms.mp3	D	Distractor	stop	nasal	Fricative	DistractorChoice\tms.mp3	DistractorChoiceD\tams.mp3	DistractorChoiceVoicing\dms.mp3	
tbn	Distractor\tbn.mp3	D	Distractor	stop	stop	nasal	DistractorChoice\tbn.mp3	DistractorChoiceD\tabn.mp3	DistractorChoiceVoicing\dbn.mp3	
kbn	Distractor\kbn.mp3	D	Distractor	stop	stop	nasal	DistractorChoice\kbn.mp3	DistractorChoiceD\kabn.mp3	DistractorChoiceVoicing\zdb.mp3	
kms	Distractor\kms.mp3	D	Distractor	stop	nasal	Fricative	DistractorChoice\kms.mp3	DistractorChoiceD\kams.mp3	DistractorChoiceVoicing\zrm.mp3	
ksm	Distractor\ksm.mp3	D	Distractor	stop	Fricative	nasal	DistractorChoice\ksm.mp3	DistractorChoiceD\kasm.mp3	DistractorChoiceVoicing\znl.mp3	
kmy	Distractor\kmy.mp3	D	Distractor	stop	nasal	glide	DistractorChoice\kmy.mp3	DistractorChoiceD\kamy.mp3	DistractorChoiceVoicing\zyk.mp3	
klS	Distractor\klS.mp3	D	Distractor	stop	liquid	Fricative	DistractorChoice\klS.mp3	DistractorChoiceD\kalS.mp3	DistractorChoiceVoicing\ztk.mp3	
tbH	FinalH\tbH.mp3	H	FinalH	stop	stop	fricative	FinalHChoiceH\tbH.mp3	FinalHChoiceh\tbH.mp3	FinalHChoiceD\tb.mp3	
btH	FinalH\btH.mp3	H	FinalH	stop	stop	fricative	FinalHChoiceH\btH.mp3	FinalHChoiceh\btH.mp3	FinalHChoiceD\bt.mp3	
zdH	FinalH\zdH.mp3	H	FinalH	Fricative	stop	fricative	FinalHChoiceH\zdH.mp3	FinalHChoiceh\zdH.mp3	FinalHChoiceD\zd.mp3	
dkH	FinalH\dkH.mp3	H	FinalH	stop	stop	fricative	FinalHChoiceH\dkH.mp3	FinalHChoiceh\dkH.mp3	FinalHChoiceD\dk.mp3	
dgH	FinalH\dgH.mp3	H	FinalH	stop	stop	fricative	FinalHChoiceH\dgH.mp3	FinalHChoiceh\dgH.mp3	FinalHChoiceD\dg.mp3	
dzH	FinalH\dzH.mp3	H	FinalH	stop	Fricative	fricative	FinalHChoiceH\dzH.mp3	FinalHChoiceh\dzH.mp3	FinalHChoiceD\dz.mp3	
bsH	FinalH\bsH.mp3	H	FinalH	stop	Fricative	fricative	FinalHChoiceH\bsH.mp3	FinalHChoiceh\bsH.mp3	FinalHChoiceD\bs.mp3	
gSH	FinalH\gSH.mp3	H	FinalH	stop	Fricative	fricative	FinalHChoiceH\gSH.mp3	FinalHChoiceh\gSH.mp3	FinalHChoiceD\gS.mp3	
zmH	FinalH\zmH.mp3	H	FinalH	Fricative	nasal	fricative	FinalHChoiceH\zmH.mp3	FinalHChoiceh\zmH.mp3	FinalHChoiceD\zm.mp3	
knH	FinalH\knH.mp3	H	FinalH	stop	nasal	fricative	FinalHChoiceH\knH.mp3	FinalHChoiceh\knH.mp3	FinalHChoiceD\kn.mp3	
nlH	FinalH\nlH.mp3	H	FinalH	nasal	liquid	fricative	FinalHChoiceH\nlH.mp3	FinalHChoiceh\nlH.mp3	FinalHChoiceD\nl.mp3	
SyH	FinalH\SyH.mp3	H	FinalH	Fricative	glide	fricative	FinalHChoiceH\SyH.mp3	FinalHChoiceh\SyH.mp3	FinalHChoiceD\Sy.mp3	
zwH	FinalH\zwH.mp3	H	FinalH	Fricative	glide	fricative	FinalHChoiceH\zwH.mp3	FinalHChoiceh\zwH.mp3	FinalHChoiceD\zw.mp3	
mwH	FinalH\mwH.mp3	H	FinalH	nasal	glide	fricative	FinalHChoiceH\mwH.mp3	FinalHChoiceh\mwH.mp3	FinalHChoiceD\mw.mp3	
ynH	FinalH\ynH.mp3	H	FinalH	glide	nasal	fricative	FinalHChoiceH\ynH.mp3	FinalHChoiceh\ynH.mp3	FinalHChoiceD\yn.mp3	
wrH	FinalH\wrH.mp3	H	FinalH	glide	liquid	fricative	FinalHChoiceH\wrH.mp3	FinalHChoiceh\wrH.mp3	FinalHChoiceD\wr.mp3	
nmH	FinalH\nmH.mp3	H	FinalH	nasal	nasal	fricative	FinalHChoiceH\nmH.mp3	FinalHChoiceh\nmH.mp3	FinalHChoiceD\nm.mp3	
rlH	FinalH\rlH.mp3	H	FinalH	liquid	liquid	fricative	FinalHChoiceH\rlH.mp3	FinalHChoiceh\rlH.mp3	FinalHChoiceD\rl.mp3	
sgH	FinalH\sgH.mp3	H	FinalH	Fricative	stop	fricative	FinalHChoiceH\sgH.mp3	FinalHChoiceh\sgH.mp3	FinalHChoiceD\sg.mp3	
SdH	FinalH\SdH.mp3	H	FinalH	Fricative	stop	fricative	FinalHChoiceH\SdH.mp3	FinalHChoiceh\SdH.mp3	FinalHChoiceD\Sd.mp3	
Hbd	InitialH\Hbd.mp3	H	InitialH	fricative	stop	stop	InitialHChoiceH\Hzt.mp3	InitialHChoiceh\Hzt.mp3	InitialHChoiceD\bd.mp3	
Htb	InitialH\Htb.mp3	H	InitialH	fricative	stop	stop	InitialHChoiceH\HyS.mp3	InitialHChoiceh\HyS.mp3	InitialHChoiceD\tb.mp3	
Hdl	InitialH\Hdl.mp3	H	InitialH	fricative	stop	liquid	InitialHChoiceH\Hyb.mp3	InitialHChoiceh\Hyb.mp3	InitialHChoiceD\dl.mp3	
Hkn	InitialH\Hkn.mp3	H	InitialH	fricative	stop	nasal	InitialHChoiceH\Hws.mp3	InitialHChoiceh\Hws.mp3	InitialHChoiceD\kn.mp3	
Hgm	InitialH\Hgm.mp3	H	InitialH	fricative	stop	nasal	InitialHChoiceH\Hwk.mp3	InitialHChoiceh\Hwk.mp3	InitialHChoiceD\gm.mp3	
Hsl	InitialH\Hsl.mp3	H	InitialH	fricative	Fricative	liquid	InitialHChoiceH\Htn.mp3	InitialHChoiceh\Htn.mp3	InitialHChoiceD\sl.mp3	
Hzt	InitialH\Hzt.mp3	H	InitialH	fricative	Fricative	stop	InitialHChoiceH\Htb.mp3	InitialHChoiceh\Htb.mp3	InitialHChoiceD\zt.mp3	
HSn	InitialH\HSn.mp3	H	InitialH	fricative	Fricative	nasal	InitialHChoiceH\HSn.mp3	InitialHChoiceh\HSn.mp3	InitialHChoiceD\Sn.mp3	
Hmk	InitialH\Hmk.mp3	H	InitialH	fricative	nasal	stop	InitialHChoiceH\Hsl.mp3	InitialHChoiceh\Hsl.mp3	InitialHChoiceD\mk.mp3	
Hnr	InitialH\Hnr.mp3	H	InitialH	fricative	nasal	liquid	InitialHChoiceH\Hrl.mp3	InitialHChoiceh\Hrl.mp3	InitialHChoiceD\nr.mp3	
HlS	InitialH\HlS.mp3	H	InitialH	fricative	liquid	Fricative	InitialHChoiceH\Hnz.mp3	InitialHChoiceh\Hnz.mp3	InitialHChoiceD\lS.mp3	
Hrl	InitialH\Hrl.mp3	H	InitialH	fricative	liquid	liquid	InitialHChoiceH\Hnr.mp3	InitialHChoiceh\Hnr.mp3	InitialHChoiceD\rl.mp3	
Hwk	InitialH\Hwk.mp3	H	InitialH	fricative	glide	stop	InitialHChoiceH\Hmk.mp3	InitialHChoiceh\Hmk.mp3	InitialHChoiceD\wk.mp3	
Hyb	InitialH\Hyb.mp3	H	InitialH	fricative	glide	stop	InitialHChoiceH\HlS.mp3	InitialHChoiceh\HlS.mp3	InitialHChoiceD\yb.mp3	
Hbm	InitialH\Hbm.mp3	H	InitialH	fricative	stop	nasal	InitialHChoiceH\Hld.mp3	InitialHChoiceh\Hld.mp3	InitialHChoiceD\bm.mp3	
Htn	InitialH\Htn.mp3	H	InitialH	fricative	stop	nasal	InitialHChoiceH\Hkn.mp3	InitialHChoiceh\Hkn.mp3	InitialHChoiceD\tn.mp3	
Hnz	InitialH\Hnz.mp3	H	InitialH	fricative	nasal	Fricative	InitialHChoiceH\Hgm.mp3	InitialHChoiceh\Hgm.mp3	InitialHChoiceD\nz.mp3	
Hld	InitialH\Hld.mp3	H	InitialH	fricative	liquid	stop	InitialHChoiceH\Hdl.mp3	InitialHChoiceh\Hdl.mp3	InitialHChoiceD\ld.mp3	
Hws	InitialH\Hws.mp3	H	InitialH	fricative	glide	Fricative	InitialHChoiceH\Hbm.mp3	InitialHChoiceh\Hbm.mp3	InitialHChoiceD\ws.mp3	
HyS	InitialH\HyS.mp3	H	InitialH	fricative	glide	Fricative	InitialHChoiceH\Hbd.mp3	InitialHChoiceh\Hbd.mp3	InitialHChoiceD\yS.mp3	
baHka	MedialCodaH\baHka.mp3	H	MedialCodaH	stop	fricative	stop	MedialCodaChoiceH\baHka.mp3	MedialCodaChoiceh\baHka.mp3	MedialCodaChoiceD\baDka.mp3	
taHsa	MedialCodaH\taHsa.mp3	H	MedialCodaH	stop	fricative	Fricative	MedialCodaChoiceH\taHsa.mp3	MedialCodaChoiceh\taHsa.mp3	MedialCodaChoiceD\taDsa.mp3	
daHwa	MedialCodaH\daHwa.mp3	H	MedialCodaH	stop	fricative	glide	MedialCodaChoiceH\daHwa.mp3	MedialCodaChoiceh\daHwa.mp3	MedialCodaChoiceD\daDwa.mp3	
kaHya	MedialCodaH\kaHya.mp3	H	MedialCodaH	stop	fricative	glide	MedialCodaChoiceH\kaHya.mp3	MedialCodaChoiceh\kaHya.mp3	MedialCodaChoiceD\kaDya.mp3	
gaHna	MedialCodaH\gaHna.mp3	H	MedialCodaH	stop	fricative	nasal	MedialCodaChoiceH\gaHna.mp3	MedialCodaChoiceh\gaHna.mp3	MedialCodaChoiceD\gaDna.mp3	
saHta	MedialCodaH\saHta.mp3	H	MedialCodaH	Fricative	fricative	stop	MedialCodaChoiceH\saHta.mp3	MedialCodaChoiceh\saHta.mp3	MedialCodaChoiceD\saDta.mp3	
zaHna	MedialCodaH\zaHna.mp3	H	MedialCodaH	Fricative	fricative	nasal	MedialCodaChoiceH\zaHna.mp3	MedialCodaChoiceh\zaHna.mp3	MedialCodaChoiceD\zaDna.mp3	
SaHla	MedialCodaH\SaHla.mp3	H	MedialCodaH	Fricative	fricative	liquid	MedialCodaChoiceH\SaHla.mp3	MedialCodaChoiceh\SaHla.mp3	MedialCodaChoiceD\SaDla.mp3	
maHka	MedialCodaH\maHka.mp3	H	MedialCodaH	nasal	fricative	stop	MedialCodaChoiceH\maHka.mp3	MedialCodaChoiceh\maHka.mp3	MedialCodaChoiceD\maDka.mp3	
naHSa	MedialCodaH\naHSa.mp3	H	MedialCodaH	nasal	fricative	Fricative	MedialCodaChoiceH\naHSa.mp3	MedialCodaChoiceh\naHSa.mp3	MedialCodaChoiceD\naDSa.mp3	
laHwa	MedialCodaH\laHwa.mp3	H	MedialCodaH	liquid	fricative	glide	MedialCodaChoiceH\laHwa.mp3	MedialCodaChoiceh\laHwa.mp3	MedialCodaChoiceD\laDwa.mp3	
raHza	MedialCodaH\raHza.mp3	H	MedialCodaH	liquid	fricative	Fricative	MedialCodaChoiceH\raHza.mp3	MedialCodaChoiceh\raHza.mp3	MedialCodaChoiceD\raDza.mp3	
waHsa	MedialCodaH\waHsa.mp3	H	MedialCodaH	glide	fricative	Fricative	MedialCodaChoiceH\waHsa.mp3	MedialCodaChoiceh\waHsa.mp3	MedialCodaChoiceD\waDsa.mp3	
yaHga	MedialCodaH\yaHga.mp3	H	MedialCodaH	glide	fricative	stop	MedialCodaChoiceH\yaHga.mp3	MedialCodaChoiceh\yaHga.mp3	MedialCodaChoiceD\yaDga.mp3	
yaHra	MedialCodaH\yaHra.mp3	H	MedialCodaH	glide	fricative	liquid	MedialCodaChoiceH\yaHra.mp3	MedialCodaChoiceh\yaHra.mp3	MedialCodaChoiceD\yaDra.mp3	
waHna	MedialCodaH\waHna.mp3	H	MedialCodaH	glide	fricative	nasal	MedialCodaChoiceH\waHna.mp3	MedialCodaChoiceh\waHna.mp3	MedialCodaChoiceD\waDna.mp3	
raHya	MedialCodaH\raHya.mp3	H	MedialCodaH	liquid	fricative	glide	MedialCodaChoiceH\raHya.mp3	MedialCodaChoiceh\raHya.mp3	MedialCodaChoiceD\raDya.mp3	
naHma	MedialCodaH\naHma.mp3	H	MedialCodaH	nasal	fricative	nasal	MedialCodaChoiceH\naHma.mp3	MedialCodaChoiceh\naHma.mp3	MedialCodaChoiceD\naDma.mp3	
kaHda	MedialCodaH\kaHda.mp3	H	MedialCodaH	stop	fricative	stop	MedialCodaChoiceH\kaHda.mp3	MedialCodaChoiceh\kaHda.mp3	MedialCodaChoiceD\kaDda.mp3	
saHSa	MedialCodaH\saHSa.mp3	H	MedialCodaH	Fricative	fricative	Fricative	MedialCodaChoiceH\saHSa.mp3	MedialCodaChoiceh\saHSa.mp3	MedialCodaChoiceD\saDSa.mp3	
zHS	MedialOnsetH\zHS.mp3	H	MedialOnsetH	Fricative	fricative	Fricative	MedialOnsetChoiceH\zHS.mp3	MedialOnsetChoiceh\zHS.mp3	MedialOnsetChoiceD\zaS.mp3	
yHm	MedialOnsetH\yHm.mp3	H	MedialOnsetH	glide	fricative	nasal	MedialOnsetChoiceH\yHm.mp3	MedialOnsetChoiceh\yHm.mp3	MedialOnsetChoiceD\yam.mp3	
yHd	MedialOnsetH\yHd.mp3	H	MedialOnsetH	glide	fricative	stop	MedialOnsetChoiceH\yHd.mp3	MedialOnsetChoiceh\yHd.mp3	MedialOnsetChoiceD\yad.mp3	
wHr	MedialOnsetH\wHr.mp3	H	MedialOnsetH	glide	fricative	liquid	MedialOnsetChoiceH\wHr.mp3	MedialOnsetChoiceh\wHr.mp3	MedialOnsetChoiceD\war.mp3	
wHb	MedialOnsetH\wHb.mp3	H	MedialOnsetH	glide	fricative	stop	MedialOnsetChoiceH\wHb.mp3	MedialOnsetChoiceh\wHb.mp3	MedialOnsetChoiceD\wab.mp3	
tHs	MedialOnsetH\tHs.mp3	H	MedialOnsetH	stop	fricative	Fricative	MedialOnsetChoiceH\tHs.mp3	MedialOnsetChoiceh\tHs.mp3	MedialOnsetChoiceD\tas.mp3	
sHz	MedialOnsetH\sHz.mp3	H	MedialOnsetH	Fricative	fricative	Fricative	MedialOnsetChoiceH\sHz.mp3	MedialOnsetChoiceh\sHz.mp3	MedialOnsetChoiceD\saz.mp3	
SHs	MedialOnsetH\SHs.mp3	H	MedialOnsetH	Fricative	fricative	Fricative	MedialOnsetChoiceH\SHs.mp3	MedialOnsetChoiceh\SHs.mp3	MedialOnsetChoiceD\Sas.mp3	
rHs	MedialOnsetH\rHs.mp3	H	MedialOnsetH	liquid	fricative	Fricative	MedialOnsetChoiceH\rHs.mp3	MedialOnsetChoiceh\rHs.mp3	MedialOnsetChoiceD\ras.mp3	
rHn	MedialOnsetH\rHn.mp3	H	MedialOnsetH	liquid	fricative	nasal	MedialOnsetChoiceH\rHn.mp3	MedialOnsetChoiceh\rHn.mp3	MedialOnsetChoiceD\ran.mp3	
nHw	MedialOnsetH\nHw.mp3	H	MedialOnsetH	nasal	fricative	glide	MedialOnsetChoiceH\nHw.mp3	MedialOnsetChoiceh\nHw.mp3	MedialOnsetChoiceD\naw.mp3	
mHz	MedialOnsetH\mHz.mp3	H	MedialOnsetH	nasal	fricative	Fricative	MedialOnsetChoiceH\mHz.mp3	MedialOnsetChoiceh\mHz.mp3	MedialOnsetChoiceD\maz.mp3	
mHr	MedialOnsetH\mHr.mp3	H	MedialOnsetH	nasal	fricative	liquid	MedialOnsetChoiceH\mHr.mp3	MedialOnsetChoiceh\mHr.mp3	MedialOnsetChoiceD\mar.mp3	
lHk	MedialOnsetH\lHk.mp3	H	MedialOnsetH	liquid	fricative	stop	MedialOnsetChoiceH\lHk.mp3	MedialOnsetChoiceh\lHk.mp3	MedialOnsetChoiceD\lak.mp3	
kHr	MedialOnsetH\kHr.mp3	H	MedialOnsetH	stop	fricative	liquid	MedialOnsetChoiceH\kHr.mp3	MedialOnsetChoiceh\kHr.mp3	MedialOnsetChoiceD\kar.mp3	
gHz	MedialOnsetH\gHz.mp3	H	MedialOnsetH	stop	fricative	Fricative	MedialOnsetChoiceH\gHz.mp3	MedialOnsetChoiceh\gHz.mp3	MedialOnsetChoiceD\gaz.mp3	
dHm	MedialOnsetH\dHm.mp3	H	MedialOnsetH	stop	fricative	nasal	MedialOnsetChoiceH\dHm.mp3	MedialOnsetChoiceh\dHm.mp3	MedialOnsetChoiceD\dam.mp3	
dHl	MedialOnsetH\dHl.mp3	H	MedialOnsetH	stop	fricative	liquid	MedialOnsetChoiceH\dHl.mp3	MedialOnsetChoiceh\dHl.mp3	MedialOnsetChoiceD\dal.mp3	
bHm	MedialOnsetH\bHm.mp3	H	MedialOnsetH	stop	fricative	nasal	MedialOnsetChoiceH\bHm.mp3	MedialOnsetChoiceh\bHm.mp3	MedialOnsetChoiceD\bam.mp3	
bHk	MedialOnsetH\bHk.mp3	H	MedialOnsetH	stop	fricative	stop	MedialOnsetChoiceH\bHk.mp3	MedialOnsetChoiceh\bHk.mp3	MedialOnsetChoiceD\bak.mp3	
